text,Sentiment Score,Analysis
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[something, tells, mason, dad, would, approve, ending, prevailing, wage, laws, mi, bogu]",2,Positive
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[marriott, hotel, strike, leads, mass, employee, walkouts, fightfor15, unionsforall]",0,Neutral
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[fifteen, aspire, negate, proof, undervalued, well, fightfor15]",1,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[27, days, left, please, put, donations, activism, toward, candidates, support, medicare4all, fightfor15, take]",2,Positive
,,
"[15, minimum, wage, needs, everyone, whole, family, farm, workers, tipped, workers, teens, like, https]",1,Positive
,,
"[pretty, big, meeting, today, movement, whose, time, come, ff15, fightfor15, economicjustice]",4,Positive
,,
"[pretty, big, meeting, today, movement, whose, time, come, ff15, fightfor15]",4,Positive
,,
"[city, st, paul, proposing, new, 15, minimum, wage, bill, includes, everyone, working, city]",2,Positive
,,
"[clearly, life, president, treasurer, amp, recording, secre]",2,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[goptaxscam, largest, transfer, wealth, working, class, mega, rich, corporations, modern, histo]",3,Positive
,,
"[me15, 7, 000, marriott, workers, strike, boston, detroit, hawaii, san, francisco, san, diego, several, cities, th]",0,Neutral
,,
"[told, chances, seem, strong, government, counts, number, people, working, multiple, jobs, especially]",3,Positive
,,
"[letter, ceo, steve, easterbrook, u, demanded, mcdonald, boost, workers, paychecks, let, worker]",1,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[breaking, musicians, lyric, opera, chicago, strike, first, time, company, history, management]",1,Positive
,,
"[favorite, photo, night, alicecooper, rocktober]",1,Positive
,,
"[abbey, wins, 3, 1, match, night, crusaders, 7, team, blocks, 76, digs, 4, crusaders, double, digit, digs, 58, kills]",2,Positive
,,
[rocktober],0,Neutral
,,
[rocktober],0,Neutral
,,
"[abbey, wins, 3, 1, match, night, crusaders, 7, team, blocks, 76, digs, 4, crusaders, double, digit, digs, 58, kills]",2,Positive
,,
"[cool, band, name, check, lost, way, rocktober, nowplaying, hardrockmusic, metalmusic]",4,Positive
,,
[rocktober],0,Neutral
,,
"[abbey, wins, 3, 1, match, night, crusaders, 7, team, blocks, 76, digs, 4, crusaders, double, digit, digs]",2,Positive
,,
"[rocktober, started, bang, ended, whimper, reason, look, forward, 2019]",1,Positive
,,
"[rocktober, started, bang, ended, whimper, reason, look, forward, 2019]",1,Positive
,,
"[rocktober, started, bang, ended, whimper, reason, look, forward, 2019, rockies]",1,Positive
,,
"[rocktober, monday, grokrock, 7pm, uk, 2pm, edt, amp, special, includ]",0,Neutral
,,
"[wynonnaearp, rocktober, marty, balin, bluebloods, cookware, kitchentools, dining]",0,Neutral
,,
"[vintagevinyl, woodstock, rocktober]",0,Neutral
,,
